827,-3695,-3695
114,-3713,-3713
-588,-3596,-3596
-1256,-3347,-3347
-1864,-2976,-2976
-2390,-2495,-2495
-2815,-1922,-1922
-3123,-1280,-1280
-3303,-590,-590
-3348,120,120
-3257,827,827
-3032,1504,1504
-2683,2125,2125
-2222,2669,2669
-1666,3115,3115
-1035,3446,3446
-352,3651,3651
356,3722,3722
1066,3657,3657
1750,3458,3458
2384,3132,3132
2944,2691,2691
3410,2151,2151
3764,1533,1533
3994,858,858
4091,152,152
4052,-559,-559
3878,-1250,-1250
3576,-1895,-1895
3156,-2471,-2471
2633,-2957,-2957
2029,-3333,-3333
1363,-3588,-3588
661,-3711,-3711
-51,-3698,-3698
-748,-3550,-3550
-1404,-3271,-3271
-1995,-2872,-2872
-2499,-2368,-2368
-2898,-1777,-1777
-3177,-1122,-1122
-3326,-424,-424
-3339,287,287
-3216,989,989
-2962,1655,1655
-2585,2260,2260
-2100,2783,2783
-1524,3203,3203
-879,3506,3506
-188,3680,3680
523,3719,3719
1229,3622,3622
1904,3392,3392
2523,3038,3038
3062,2573,2573
3503,2013,2013
3830,1379,1379
4029,695,695
4095,-14,-14
4024,-723,-723
3819,-1406,-1406
3487,-2037,-2037
3042,-2593,-2593
2498,-3055,-3055
1877,-3404,-3404
1201,-3629,-3629
494,-3720,-3720
-217,-3676,-3676
-906,-3496,-3496
-1549,-3188,-3188
-2122,-2763,-2763
-2603,-2237,-2237
-2974,-1629,-1629
-3224,-961,-961
-3341,-258,-258
-3322,453,453
-3168,1149,1149
-2884,1803,1803
-2480,2391,2391
-1973,2891,2891
-1378,3285,3285
-720,3558,3558
-22,3701,3701
690,3709,3709
1391,3580,3580
2054,3320,3320
2657,2939,2939
3175,2449,2449
3591,1870,1870
3888,1222,1222
4057,530,530
4090,-181,-181
3987,-887,-887
3752,-1559,-1559
3393,-2175,-2175
2923,-2711,-2711
2359,-3147,-3147
1723,-3468,-3468
1037,-3662,-3662
327,-3722,-3722
-381,-3645,-3645
-1062,-3435,-3435
-1690,-3098,-3098
-2243,-2648,-2648
-2700,-2101,-2101
-3044,-1477,-1477
-3263,-799,-799
-3349,-91,-91
-3298,619,619
-3113,1307,1307
-2800,1947,1947
-2370,2516,2516
-1840,2993,2993
-1229,3360,3360
-559,3604,3604
144,3715,3715
856,3690,3690
1551,3531,3531
2202,3242,3242
2786,2833,2833
3282,2321,2321
3671,1724,1724
3939,1063,1063
4077,364,364
4078,-348,-348
3944,-1048,-1048
3679,-1709,-1709
3292,-2308,-2308
2799,-2823,-2823
2216,-3233,-3233
1566,-3526,-3526
872,-3689,-3689
160,-3716,-3716
-543,-3608,-3608
-1215,-3367,-3367
-1827,-3003,-3003
-2359,-2528,-2528
-2791,-1961,-1961
-3107,-1322,-1322
-3296,-635,-635
-3349,75,75
-3267,783,783
-3051,1462,1462
-2709,2088,2088
-2255,2637,2637
-1704,3089,3089
-1077,3428,3428
-397,3642,3642
310,3722,3722
1021,3665,3665
1708,3474,3474
2345,3156,3156
2911,2722,2722
3383,2188,2188
3745,1574,1574
3984,902,902
4090,198,198
4059,-513,-513
3893,-1207,-1207
3599,-1856,-1856
3186,-2437,-2437
2670,-2928,-2928
2069,-3313,-3313
1406,-3576,-3576
706,-3707,-3707
-6,-3703,-3703
-704,-3563,-3563
-1364,-3292,-3292
-1960,-2901,-2901
-2470,-2404,-2404
-2876,-1817,-1817
-3163,-1165,-1165
-3320,-470,-470
-3342,242,242
-3228,945,945
-2982,1614,1614
-2613,2224,2224
-2134,2752,2752
-1563,3179,3179
-922,3490,3490
-233,3673,3673
478,3721,3721
1185,3632,3632
1862,3411,3411
2485,3064,3064
3031,2605,2605
3478,2051,2051
3812,1421,1421
4020,739,739
4095,30,30
4032,-678,-678
3835,-1364,-1364
3512,-1999,-1999
3073,-2561,-2561
2536,-3029,-3029
1919,-3386,-3386
1245,-3618,-3618
539,-3719,-3719
-171,-3682,-3682
-863,-3511,-3511
-1510,-3211,-3211
-2088,-2793,-2793
-2575,-2274,-2274
-2954,-1670,-1670
-3212,-1005,-1005
-3337,-304,-304
-3327,408,408
-3182,1106,1106
-2906,1763,1763
-2510,2355,2355
-2008,2862,2862
-1419,3263,3263
-764,3545,3545
-67,3696,3696
644,3712,3712
1347,3592,3592
2014,3341,3341
2620,2967,2967
3145,2483,2483
3567,1910,1910
3873,1266,1266
4050,575,575
4092,-135,-135
3998,-842,-842
3771,-1518,-1518
3419,-2138,-2138
2956,-2679,-2679
2398,-3123,-3123
1765,-3451,-3451
1082,-3654,-3654
373,-3722,-3722
-336,-3654,-3654
-1020,-3452,-3452
-1652,-3123,-3123
-2210,-2680,-2680
-2674,-2139,-2139
-3026,-1519,-1519
-3253,-843,-843
-3347,-137,-137
-3306,573,573
-3129,1264,1264
-2823,1908,1908
-2401,2483,2483
-1877,2966,2966
-1271,3340,3340
-603,3592,3592
98,3712,3712
811,3696,3696
1507,3545,3545
2162,3264,3264
2751,2863,2863
3253,2357,2357
3650,1764,1764
3926,1107,1107
4072,409,409
4082,-302,-302
3956,-1004,-1004
3700,-1669,-1669
3320,-2272,-2272
2833,-2793,-2793
2256,-3211,-3211
1609,-3511,-3511
917,-3682,-3682
205,-3719,-3719
-499,-3619,-3619
-1173,-3386,-3386
-1790,-3029,-3029
-2328,-2562,-2562
-2767,-2000,-2000
-3091,-1365,-1365
-3287,-680,-680
-3350,29,29
-3276,738,738
-3068,1420,1420
-2735,2050,2050
-2287,2604,2604
-1742,3063,3063
-1119,3411,3411
-442,3632,3632
265,3721,3721
976,3673,3673
1665,3491,3491
2307,3180,3180
2877,2753,2753
3356,2225,2225
3725,1616,1616
3972,947,947
4087,243,243
4065,-468,-468
3908,-1164,-1164
3621,-1816,-1816
3216,-2402,-2402
2705,-2900,-2900
2110,-3291,-3291
1451,-3563,-3563
752,-3703,-3703
39,-3707,-3707
